CustomerID,churn_probability,churn_risk_label,churned
10230,0.0003192681,Low,0
10231,0.0003994299,Low,0
10232,0.00046568515,Low,0
10233,0.0007959783,Low,0
10234,0.00018565221,Low,0
10235,0.00011113716,Low,0
10236,0.0003420149,Low,0
10237,0.00012637307,Low,0
10238,0.003043956,Low,0
10239,0.00036525697,Low,0
10240,5.5672157e-05,Low,0
10241,9.107478e-05,Low,0
10242,0.00020945526,Low,0
10243,0.00014979897,Low,0
10244,0.0006845529,Low,0
10245,0.0010006117,Low,0
10246,0.000103724065,Low,0
10247,0.00029595796,Low,0
10248,0.0026360068,Low,0
10249,0.011421402,Low,0
10250,0.0008619156,Low,0
10251,0.0014701259,Low,0
10252,0.00047392477,Low,0
10253,0.00013993385,Low,0
10254,0.000115479364,Low,0
10255,0.00019527545,Low,0
10256,0.002127948,Low,0
10257,0.00066020864,Low,0
10258,0.003534381,Low,0
10259,0.0005181652,Low,0
10260,0.00021430418,Low,0
10261,0.061120152,Low,0
10262,0.0016416345,Low,0
10263,0.00034684336,Low,0
10264,0.0010975803,Low,0
10265,0.0020518964,Low,0
10266,0.00028242695,Low,0
10267,0.0001871059,Low,0
10268,0.00022137015,Low,0
10269,0.00022967922,Low,0
10270,0.00077114516,Low,0
10271,0.0007832373,Low,0
10272,0.011068167,Low,0
10273,9.3038165e-05,Low,0
10274,0.00010072015,Low,0
10275,0.007993321,Low,0
10276,0.00029584736,Low,0
10277,0.00011646357,Low,0
10278,0.00281748,Low,0
10279,0.0015202095,Low,0
10280,0.003009648,Low,0
10281,0.00089243957,Low,0
10282,0.00067259476,Low,0
10283,0.00060167996,Low,0
10284,0.00033258207,Low,0
10285,0.00037430125,Low,0
10286,0.0001275638,Low,0
10287,0.0002860405,Low,0
10288,0.0012115401,Low,0
10289,0.0012102148,Low,0
10290,0.0077292053,Low,0
10291,0.000100030236,Low,0
10292,0.0015794022,Low,0
10293,0.0001630402,Low,0
10294,0.0012386946,Low,0
10295,0.0003654562,Low,0
10296,0.0007510265,Low,0
10297,0.00026732322,Low,0
10298,0.09299426,Low,0
10299,0.004179796,Low,0
10300,0.0009711735,Low,0
10301,0.0013275316,Low,0
10302,0.0012418926,Low,0
10303,0.0012344074,Low,0
10304,0.9937769,High,1
10305,0.00026466444,Low,0
10306,0.09034955,Low,0
10307,0.0010580982,Low,0
10308,0.0002449896,Low,0
10309,0.00013605125,Low,0
10310,0.00023866432,Low,0
10311,0.00046280248,Low,0
10312,0.06097029,Low,0
10313,0.00023573202,Low,0
10314,0.05694925,Low,0
10315,0.007612945,Low,0
10316,0.00024504474,Low,0
10317,0.0009275422,Low,0
10318,0.00024904724,Low,0
10319,0.00030396492,Low,0
10320,0.0003701861,Low,0
10321,0.0013530633,Low,0
10322,0.00013152763,Low,0
10323,0.0007280563,Low,0
10324,4.2902946e-05,Low,0
10325,0.99172103,High,1
10326,0.0002423673,Low,0
10327,0.00036933972,Low,0
10328,0.00025014646,Low,0
10329,0.00032345284,Low,0
10330,0.0022315385,Low,0
10331,0.00010008452,Low,0
10332,0.00057798735,Low,0
10333,0.0017497286,Low,0
10334,0.00053806894,Low,0
10335,0.0002142343,Low,0
10336,6.4799504e-05,Low,0
10337,0.00083047425,Low,0
10338,0.0013219242,Low,0
10339,0.00038376782,Low,0
10340,0.000589028,Low,0
10341,0.0006763303,Low,0
10342,0.00088329957,Low,0
10343,9.367467e-05,Low,0
10344,0.0007585088,Low,0
10345,0.028123453,Low,0
10346,0.00019221687,Low,0
10347,0.0007130376,Low,0
10348,0.0434891,Low,0
10349,0.00035645408,Low,0
10350,0.001263522,Low,0
10351,0.00040928723,Low,0
10352,0.0320665,Low,0
10353,7.647714e-05,Low,0
10354,0.00207417,Low,0
10355,0.9950899,High,1
10356,0.00030322798,Low,0
10357,5.121954e-05,Low,0
10358,0.00013647198,Low,0
10359,0.000374201,Low,0
10360,0.009635113,Low,0
10361,0.00035929828,Low,0
10362,0.000112640024,Low,0
10363,0.0010860463,Low,0
10364,0.001996137,Low,0
10365,8.4985506e-05,Low,0
10366,0.0021186268,Low,0
10367,0.0031082872,Low,0
10368,0.00021427027,Low,0
10369,0.00081588246,Low,0
10370,0.00040468515,Low,0
10371,0.0015583135,Low,0
10372,0.00017972047,Low,0
10373,0.00025712824,Low,0
10374,0.00092712214,Low,0
10375,0.002209236,Low,0
10376,0.00036398423,Low,0
10377,0.00021206442,Low,0
10378,0.0011590094,Low,0
10379,0.0011475589,Low,0
10380,0.00047172917,Low,0
10381,0.0012145714,Low,0
10382,0.0001865985,Low,0
10383,0.0010620458,Low,0
10384,0.0001778338,Low,0
10385,0.00066992803,Low,0
